Year,Area,Party,Candidate votes,Total votes,Vote share
2017,Arkansas,Democrat,380494,1130635,0.33653124129360934
2018,Arkansas,Democrat,380494,1130635,0.33653124129360934
2019,Arkansas,Democrat,380494,1130635,0.33653124129360934
2020,Arkansas,Democrat,380494,1130635,0.33653124129360934
2017,Arkansas,Other,65269,1130635,0.05772773706810774
2018,Arkansas,Other,65269,1130635,0.05772773706810774
2019,Arkansas,Other,65269,1130635,0.05772773706810774
2020,Arkansas,Other,65269,1130635,0.05772773706810774
2017,Arkansas,Republican,684872,1130635,0.6057410216382829
2018,Arkansas,Republican,684872,1130635,0.6057410216382829
2019,Arkansas,Republican,684872,1130635,0.6057410216382829
2020,Arkansas,Republican,684872,1130635,0.6057410216382829
2017,California,Democrat,8753788,14181595,0.6172639960455788
2018,California,Democrat,8753788,14181595,0.6172639960455788
2019,California,Democrat,8753788,14181595,0.6172639960455788
2020,California,Democrat,8753788,14181595,0.6172639960455788
2017,California,Other,943997,14181595,0.06656493857002685
2018,California,Other,943997,14181595,0.06656493857002685
2019,California,Other,943997,14181595,0.06656493857002685
2020,California,Other,943997,14181595,0.06656493857002685
2017,California,Republican,4483810,14181595,0.3161710653843943
2018,California,Republican,4483810,14181595,0.3161710653843943
2019,California,Republican,4483810,14181595,0.3161710653843943
2020,California,Republican,4483810,14181595,0.3161710653843943
2017,Colorado,Democrat,1338870,2780220,0.48156980382847403
2018,Colorado,Democrat,1338870,2780220,0.48156980382847403
2019,Colorado,Democrat,1338870,2780220,0.48156980382847403
2020,Colorado,Democrat,1338870,2780220,0.48156980382847403
2017,Colorado,Other,238866,2780220,0.08591622245721561
2018,Colorado,Other,238866,2780220,0.08591622245721561
2019,Colorado,Other,238866,2780220,0.08591622245721561
2020,Colorado,Other,238866,2780220,0.08591622245721561
2017,Colorado,Republican,1202484,2780220,0.4325139737143104
2018,Colorado,Republican,1202484,2780220,0.4325139737143104
2019,Colorado,Republican,1202484,2780220,0.4325139737143104
2020,Colorado,Republican,1202484,2780220,0.4325139737143104
2017,Connecticut,Democrat,897572,1644920,0.5456630109670987
2018,Connecticut,Democrat,897572,1644920,0.5456630109670987
2019,Connecticut,Democrat,897572,1644920,0.5456630109670987
2020,Connecticut,Democrat,897572,1644920,0.5456630109670987
2017,Connecticut,Other,74133,1644920,0.045067845244753546
2018,Connecticut,Other,74133,1644920,0.045067845244753546
2019,Connecticut,Other,74133,1644920,0.045067845244753546
2020,Connecticut,Other,74133,1644920,0.045067845244753546
2017,Connecticut,Republican,673215,1644920,0.40926914378814777
2018,Connecticut,Republican,673215,1644920,0.40926914378814777
2019,Connecticut,Republican,673215,1644920,0.40926914378814777
2020,Connecticut,Republican,673215,1644920,0.40926914378814777
2017,Delaware,Democrat,235603,441590,0.5335333680563419
2018,Delaware,Democrat,235603,441590,0.5335333680563419
2019,Delaware,Democrat,235603,441590,0.5335333680563419
2020,Delaware,Democrat,235603,441590,0.5335333680563419
2017,Delaware,Other,20860,441590,0.04723838855046537
2018,Delaware,Other,20860,441590,0.04723838855046537
2019,Delaware,Other,20860,441590,0.04723838855046537
2020,Delaware,Other,20860,441590,0.04723838855046537
2017,Delaware,Republican,185127,441590,0.41922824339319276
2018,Delaware,Republican,185127,441590,0.41922824339319276
2019,Delaware,Republican,185127,441590,0.41922824339319276
2020,Delaware,Republican,185127,441590,0.41922824339319276
2017,District of Columbia,Democrat,282830,312575,0.9048388386787171
2018,District of Columbia,Democrat,282830,312575,0.9048388386787171
2019,District of Columbia,Democrat,282830,312575,0.9048388386787171
2020,District of Columbia,Democrat,282830,312575,0.9048388386787171
2017,District of Columbia,Other,17022,312575,0.05445733024074222
2018,District of Columbia,Other,17022,312575,0.05445733024074222
2019,District of Columbia,Other,17022,312575,0.05445733024074222
2020,District of Columbia,Other,17022,312575,0.05445733024074222
2017,District of Columbia,Republican,12723,312575,0.04070383108054067
2018,District of Columbia,Republican,12723,312575,0.04070383108054067
2019,District of Columbia,Republican,12723,312575,0.04070383108054067
2020,District of Columbia,Republican,12723,312575,0.04070383108054067
2017,Florida,Democrat,4504975,9420039,0.4782331580580505
2018,Florida,Democrat,4504975,9420039,0.4782331580580505
2019,Florida,Democrat,4504975,9420039,0.4782331580580505
2020,Florida,Democrat,4504975,9420039,0.4782331580580505
2017,Florida,Other,297178,9420039,0.031547427776042115
2018,Florida,Other,297178,9420039,0.031547427776042115
2019,Florida,Other,297178,9420039,0.031547427776042115
2020,Florida,Other,297178,9420039,0.031547427776042115
2017,Florida,Republican,4617886,9420039,0.49021941416590736
2018,Florida,Republican,4617886,9420039,0.49021941416590736
2019,Florida,Republican,4617886,9420039,0.49021941416590736
2020,Florida,Republican,4617886,9420039,0.49021941416590736
2017,Georgia,Democrat,1877963,4114732,0.4563998335736082
2018,Georgia,Democrat,1877963,4114732,0.4563998335736082
2019,Georgia,Democrat,1877963,4114732,0.4563998335736082
2020,Georgia,Democrat,1877963,4114732,0.4563998335736082
2017,Georgia,Other,147665,4114732,0.03588690587868177
2018,Georgia,Other,147665,4114732,0.03588690587868177
2019,Georgia,Other,147665,4114732,0.03588690587868177
2020,Georgia,Other,147665,4114732,0.03588690587868177
2017,Georgia,Republican,2089104,4114732,0.50771326054771
2018,Georgia,Republican,2089104,4114732,0.50771326054771
2019,Georgia,Republican,2089104,4114732,0.50771326054771
2020,Georgia,Republican,2089104,4114732,0.50771326054771
2017,Hawaii,Democrat,266891,437664,0.6098079805512905
2018,Hawaii,Democrat,266891,437664,0.6098079805512905
2019,Hawaii,Democrat,266891,437664,0.6098079805512905
2020,Hawaii,Democrat,266891,437664,0.6098079805512905
2017,Hawaii,Other,41926,437664,0.09579494772245375
2018,Hawaii,Other,41926,437664,0.09579494772245375
2019,Hawaii,Other,41926,437664,0.09579494772245375
2020,Hawaii,Other,41926,437664,0.09579494772245375
2017,Hawaii,Republican,128847,437664,0.29439707172625573
2018,Hawaii,Republican,128847,437664,0.29439707172625573
2019,Hawaii,Republican,128847,437664,0.29439707172625573
2020,Hawaii,Republican,128847,437664,0.29439707172625573
2017,Idaho,Democrat,189765,690255,0.27492013820979205
2018,Idaho,Democrat,189765,690255,0.27492013820979205
2019,Idaho,Democrat,189765,690255,0.27492013820979205
2020,Idaho,Democrat,189765,690255,0.27492013820979205
2017,Idaho,Other,91435,690255,0.13246553809823905
2018,Idaho,Other,91435,690255,0.13246553809823905
2019,Idaho,Other,91435,690255,0.13246553809823905
2020,Idaho,Other,91435,690255,0.13246553809823905
2017,Idaho,Republican,409055,690255,0.5926143236919689
2018,Idaho,Republican,409055,690255,0.5926143236919689
2019,Idaho,Republican,409055,690255,0.5926143236919689
2020,Idaho,Republican,409055,690255,0.5926143236919689
2017,Illinois,Democrat,3090729,5536424,0.558253666987933
2018,Illinois,Democrat,3090729,5536424,0.558253666987933
2019,Illinois,Democrat,3090729,5536424,0.558253666987933
2020,Illinois,Democrat,3090729,5536424,0.558253666987933
2017,Illinois,Other,299680,5536424,0.05412880227381429
2018,Illinois,Other,299680,5536424,0.05412880227381429
2019,Illinois,Other,299680,5536424,0.05412880227381429
2020,Illinois,Other,299680,5536424,0.05412880227381429
2017,Illinois,Republican,2146015,5536424,0.3876175307382527
2018,Illinois,Republican,2146015,5536424,0.3876175307382527
2019,Illinois,Republican,2146015,5536424,0.3876175307382527
2020,Illinois,Republican,2146015,5536424,0.3876175307382527
2017,Indiana,Democrat,1033126,2734958,0.37774839686752043
2018,Indiana,Democrat,1033126,2734958,0.37774839686752043
2019,Indiana,Democrat,1033126,2734958,0.37774839686752043
2020,Indiana,Democrat,1033126,2734958,0.37774839686752043
2017,Indiana,Other,144546,2734958,0.05285126864836681
2018,Indiana,Other,144546,2734958,0.05285126864836681
2019,Indiana,Other,144546,2734958,0.05285126864836681
2020,Indiana,Other,144546,2734958,0.05285126864836681
2017,Indiana,Republican,1557286,2734958,0.5694003344841128
2018,Indiana,Republican,1557286,2734958,0.5694003344841128
2019,Indiana,Republican,1557286,2734958,0.5694003344841128
2020,Indiana,Republican,1557286,2734958,0.5694003344841128
2017,Iowa,Democrat,653669,1565580,0.41752513445496237
2018,Iowa,Democrat,653669,1565580,0.41752513445496237
2019,Iowa,Democrat,653669,1565580,0.41752513445496237
2020,Iowa,Democrat,653669,1565580,0.41752513445496237
2017,Iowa,Other,110928,1565580,0.0708542520982639
2018,Iowa,Other,110928,1565580,0.0708542520982639
2019,Iowa,Other,110928,1565580,0.0708542520982639
2020,Iowa,Other,110928,1565580,0.0708542520982639
2017,Iowa,Republican,800983,1565580,0.5116206134467737
2018,Iowa,Republican,800983,1565580,0.5116206134467737
2019,Iowa,Republican,800983,1565580,0.5116206134467737
2020,Iowa,Republican,800983,1565580,0.5116206134467737
2017,Kansas,Democrat,427005,1184402,0.36052370732234496
2018,Kansas,Democrat,427005,1184402,0.36052370732234496
2019,Kansas,Democrat,427005,1184402,0.36052370732234496
2020,Kansas,Democrat,427005,1184402,0.36052370732234496
2017,Kansas,Other,86379,1184402,0.07293047461925933
2018,Kansas,Other,86379,1184402,0.07293047461925933
2019,Kansas,Other,86379,1184402,0.07293047461925933
2020,Kansas,Other,86379,1184402,0.07293047461925933
2017,Kansas,Republican,671018,1184402,0.5665458180583958
2018,Kansas,Republican,671018,1184402,0.5665458180583958
2019,Kansas,Republican,671018,1184402,0.5665458180583958
2020,Kansas,Republican,671018,1184402,0.5665458180583958
2017,Kentucky,Democrat,628854,1924149,0.3268218833364776
2018,Kentucky,Democrat,628854,1924149,0.3268218833364776
2019,Kentucky,Democrat,628854,1924149,0.3268218833364776
2020,Kentucky,Democrat,628854,1924149,0.3268218833364776
2017,Kentucky,Other,92324,1924149,0.047981731144521554
2018,Kentucky,Other,92324,1924149,0.047981731144521554
2019,Kentucky,Other,92324,1924149,0.047981731144521554
2020,Kentucky,Other,92324,1924149,0.047981731144521554
2017,Kentucky,Republican,1202971,1924149,0.6251963855190009
2018,Kentucky,Republican,1202971,1924149,0.6251963855190009
2019,Kentucky,Republican,1202971,1924149,0.6251963855190009
2020,Kentucky,Republican,1202971,1924149,0.6251963855190009
2017,Louisiana,Democrat,780154,2029032,0.3844956609851397
2018,Louisiana,Democrat,780154,2029032,0.3844956609851397
2019,Louisiana,Democrat,780154,2029032,0.3844956609851397
2020,Louisiana,Democrat,780154,2029032,0.3844956609851397
2017,Louisiana,Other,70240,2029032,0.03461749247917233
2018,Louisiana,Other,70240,2029032,0.03461749247917233
2019,Louisiana,Other,70240,2029032,0.03461749247917233
2020,Louisiana,Other,70240,2029032,0.03461749247917233
2017,Louisiana,Republican,1178638,2029032,0.580886846535688
2018,Louisiana,Republican,1178638,2029032,0.580886846535688
2019,Louisiana,Republican,1178638,2029032,0.580886846535688
2020,Louisiana,Republican,1178638,2029032,0.580886846535688
2017,Maine,Democrat,357735,771892,0.4634521409730895
2018,Maine,Democrat,357735,771892,0.4634521409730895
2019,Maine,Democrat,357735,771892,0.4634521409730895
2020,Maine,Democrat,357735,771892,0.4634521409730895
2017,Maine,Other,78564,771892,0.10178107818192182
2018,Maine,Other,78564,771892,0.10178107818192182
2019,Maine,Other,78564,771892,0.10178107818192182
2020,Maine,Other,78564,771892,0.10178107818192182
2017,Maine,Republican,335593,771892,0.43476678084498865
2018,Maine,Republican,335593,771892,0.43476678084498865
2019,Maine,Republican,335593,771892,0.43476678084498865
2020,Maine,Republican,335593,771892,0.43476678084498865
2017,Maryland,Democrat,1678006,2781446,0.6032854853195064
2018,Maryland,Democrat,1678006,2781446,0.6032854853195064
2019,Maryland,Democrat,1678006,2781446,0.6032854853195064
2020,Maryland,Democrat,1678006,2781446,0.6032854853195064
2017,Maryland,Other,160012,2781446,0.05752835036164643
2018,Maryland,Other,160012,2781446,0.05752835036164643
2019,Maryland,Other,160012,2781446,0.05752835036164643
2020,Maryland,Other,160012,2781446,0.05752835036164643
2017,Maryland,Republican,943428,2781446,0.3391861643188471
2018,Maryland,Republican,943428,2781446,0.3391861643188471
2019,Maryland,Republican,943428,2781446,0.3391861643188471
2020,Maryland,Republican,943428,2781446,0.3391861643188471
2017,Massachusetts,Democrat,1995196,3378821,0.5905006509667129
2018,Massachusetts,Democrat,1995196,3378821,0.5905006509667129
2019,Massachusetts,Democrat,1995196,3378821,0.5905006509667129
2020,Massachusetts,Democrat,1995196,3378821,0.5905006509667129
2017,Massachusetts,Other,292732,3378821,0.08663732112473552
2018,Massachusetts,Other,292732,3378821,0.08663732112473552
2019,Massachusetts,Other,292732,3378821,0.08663732112473552
2020,Massachusetts,Other,292732,3378821,0.08663732112473552
2017,Massachusetts,Republican,1090893,3378821,0.3228620279085515
2018,Massachusetts,Republican,1090893,3378821,0.3228620279085515
2019,Massachusetts,Republican,1090893,3378821,0.3228620279085515
2020,Massachusetts,Republican,1090893,3378821,0.3228620279085515
2017,Michigan,Democrat,2268839,4799284,0.4727453095086684
2018,Michigan,Democrat,2268839,4799284,0.4727453095086684
2019,Michigan,Democrat,2268839,4799284,0.4727453095086684
2020,Michigan,Democrat,2268839,4799284,0.4727453095086684
2017,Michigan,Other,250902,4799284,0.05227904829137013
2018,Michigan,Other,250902,4799284,0.05227904829137013
2019,Michigan,Other,250902,4799284,0.05227904829137013
2020,Michigan,Other,250902,4799284,0.05227904829137013
2017,Michigan,Republican,2279543,4799284,0.47497564219996147
2018,Michigan,Republican,2279543,4799284,0.47497564219996147
2019,Michigan,Republican,2279543,4799284,0.47497564219996147
2020,Michigan,Republican,2279543,4799284,0.47497564219996147
2017,Minnesota,Democrat,1367705,2944782,0.4644503396176695
2018,Minnesota,Democrat,1367705,2944782,0.4644503396176695
2019,Minnesota,Democrat,1367705,2944782,0.4644503396176695
2020,Minnesota,Democrat,1367705,2944782,0.4644503396176695
2017,Minnesota,Other,254128,2944782,0.08629772933955722
2018,Minnesota,Other,254128,2944782,0.08629772933955722
2019,Minnesota,Other,254128,2944782,0.08629772933955722
2020,Minnesota,Other,254128,2944782,0.08629772933955722
2017,Minnesota,Republican,1322949,2944782,0.4492519310427733
2018,Minnesota,Republican,1322949,2944782,0.4492519310427733
2019,Minnesota,Republican,1322949,2944782,0.4492519310427733
2020,Minnesota,Republican,1322949,2944782,0.4492519310427733
2017,Mississippi,Democrat,485131,1209357,0.40114788271784096
2018,Mississippi,Democrat,485131,1209357,0.40114788271784096
2019,Mississippi,Democrat,485131,1209357,0.40114788271784096
2020,Mississippi,Democrat,485131,1209357,0.40114788271784096
2017,Mississippi,Other,23512,1209357,0.01944173639380266
2018,Mississippi,Other,23512,1209357,0.01944173639380266
2019,Mississippi,Other,23512,1209357,0.01944173639380266
2020,Mississippi,Other,23512,1209357,0.01944173639380266
2017,Mississippi,Republican,700714,1209357,0.5794103808883564
2018,Mississippi,Republican,700714,1209357,0.5794103808883564
2019,Mississippi,Republican,700714,1209357,0.5794103808883564
2020,Mississippi,Republican,700714,1209357,0.5794103808883564
2017,Missouri,Democrat,1071068,2808605,0.3813523083523671
2018,Missouri,Democrat,1071068,2808605,0.3813523083523671
2019,Missouri,Democrat,1071068,2808605,0.3813523083523671
2020,Missouri,Democrat,1071068,2808605,0.3813523083523671
2017,Missouri,Other,143026,2808605,0.050924213266016406
2018,Missouri,Other,143026,2808605,0.050924213266016406
2019,Missouri,Other,143026,2808605,0.050924213266016406
2020,Missouri,Other,143026,2808605,0.050924213266016406
2017,Missouri,Republican,1594511,2808605,0.5677234783816165
2018,Missouri,Republican,1594511,2808605,0.5677234783816165
2019,Missouri,Republican,1594511,2808605,0.5677234783816165
2020,Missouri,Republican,1594511,2808605,0.5677234783816165
2017,Montana,Democrat,177709,494526,0.35935218775150346
2018,Montana,Democrat,177709,494526,0.35935218775150346
2019,Montana,Democrat,177709,494526,0.35935218775150346
2020,Montana,Democrat,177709,494526,0.35935218775150346
2017,Montana,Other,37577,494526,0.07598589356272471
2018,Montana,Other,37577,494526,0.07598589356272471
2019,Montana,Other,37577,494526,0.07598589356272471
2020,Montana,Other,37577,494526,0.07598589356272471
2017,Montana,Republican,279240,494526,0.5646619186857719
2018,Montana,Republican,279240,494526,0.5646619186857719
2019,Montana,Republican,279240,494526,0.5646619186857719
2020,Montana,Republican,279240,494526,0.5646619186857719
2017,Nebraska,Democrat,284494,844227,0.33698756377135536
2018,Nebraska,Democrat,284494,844227,0.33698756377135536
2019,Nebraska,Democrat,284494,844227,0.33698756377135536
2020,Nebraska,Democrat,284494,844227,0.33698756377135536
2017,Nebraska,Other,63772,844227,0.07553892495738705
2018,Nebraska,Other,63772,844227,0.07553892495738705
2019,Nebraska,Other,63772,844227,0.07553892495738705
2020,Nebraska,Other,63772,844227,0.07553892495738705
2017,Nebraska,Republican,495961,844227,0.5874735112712576
2018,Nebraska,Republican,495961,844227,0.5874735112712576
2019,Nebraska,Republican,495961,844227,0.5874735112712576
2020,Nebraska,Republican,495961,844227,0.5874735112712576
2017,Nevada,Democrat,539260,1125385,0.4791782367811904
2018,Nevada,Democrat,539260,1125385,0.4791782367811904
2019,Nevada,Democrat,539260,1125385,0.4791782367811904
2020,Nevada,Democrat,539260,1125385,0.4791782367811904
2017,Nevada,Other,74067,1125385,0.06581481004278536
2018,Nevada,Other,74067,1125385,0.06581481004278536
2019,Nevada,Other,74067,1125385,0.06581481004278536
2020,Nevada,Other,74067,1125385,0.06581481004278536
2017,Nevada,Republican,512058,1125385,0.4550069531760242
2018,Nevada,Republican,512058,1125385,0.4550069531760242
2019,Nevada,Republican,512058,1125385,0.4550069531760242
2020,Nevada,Republican,512058,1125385,0.4550069531760242
2017,New Hampshire,Democrat,348526,744296,0.46826262669690555
2018,New Hampshire,Democrat,348526,744296,0.46826262669690555
2019,New Hampshire,Democrat,348526,744296,0.46826262669690555
2020,New Hampshire,Democrat,348526,744296,0.46826262669690555
2017,New Hampshire,Other,49980,744296,0.06715070348356031
2018,New Hampshire,Other,49980,744296,0.06715070348356031
2019,New Hampshire,Other,49980,744296,0.06715070348356031
2020,New Hampshire,Other,49980,744296,0.06715070348356031
2017,New Hampshire,Republican,345790,744296,0.46458666981953417
2018,New Hampshire,Republican,345790,744296,0.46458666981953417
2019,New Hampshire,Republican,345790,744296,0.46458666981953417
2020,New Hampshire,Republican,345790,744296,0.46458666981953417
2017,New Jersey,Democrat,2148278,3874046,0.554530844496942
2018,New Jersey,Democrat,2148278,3874046,0.554530844496942
2019,New Jersey,Democrat,2148278,3874046,0.554530844496942
2020,New Jersey,Democrat,2148278,3874046,0.554530844496942
2017,New Jersey,Other,123835,3874046,0.03196528900276352
2018,New Jersey,Other,123835,3874046,0.03196528900276352
2019,New Jersey,Other,123835,3874046,0.03196528900276352
2020,New Jersey,Other,123835,3874046,0.03196528900276352
2017,New Jersey,Republican,1601933,3874046,0.4135038665002945
2018,New Jersey,Republican,1601933,3874046,0.4135038665002945
2019,New Jersey,Republican,1601933,3874046,0.4135038665002945
2020,New Jersey,Republican,1601933,3874046,0.4135038665002945
2017,New Mexico,Democrat,385234,798319,0.48255647178634103
2018,New Mexico,Democrat,385234,798319,0.48255647178634103
2019,New Mexico,Democrat,385234,798319,0.48255647178634103
2020,New Mexico,Democrat,385234,798319,0.48255647178634103
2017,New Mexico,Other,93418,798319,0.11701838488123169
2018,New Mexico,Other,93418,798319,0.11701838488123169
2019,New Mexico,Other,93418,798319,0.11701838488123169
2020,New Mexico,Other,93418,798319,0.11701838488123169
2017,New Mexico,Republican,319667,798319,0.40042514333242724
2018,New Mexico,Republican,319667,798319,0.40042514333242724
2019,New Mexico,Republican,319667,798319,0.40042514333242724
2020,New Mexico,Republican,319667,798319,0.40042514333242724
2017,New York,Democrat,4379789,7802084,0.5613614259984896
2018,New York,Democrat,4379789,7802084,0.5613614259984896
2019,New York,Democrat,4379789,7802084,0.5613614259984896
2020,New York,Democrat,4379789,7802084,0.5613614259984896
2017,New York,Other,895153,7802084,0.1147325509440811
2018,New York,Other,895153,7802084,0.1147325509440811
2019,New York,Other,895153,7802084,0.1147325509440811
2020,New York,Other,895153,7802084,0.1147325509440811
2017,New York,Republican,2527142,7802084,0.32390602305742927
2018,New York,Republican,2527142,7802084,0.32390602305742927
2019,New York,Republican,2527142,7802084,0.32390602305742927
2020,New York,Republican,2527142,7802084,0.32390602305742927
2017,North Carolina,Democrat,2189316,4741564,0.46172866168209475
2018,North Carolina,Democrat,2189316,4741564,0.46172866168209475
2019,North Carolina,Democrat,2189316,4741564,0.46172866168209475
2020,North Carolina,Democrat,2189316,4741564,0.46172866168209475
2017,North Carolina,Other,189617,4741564,0.039990391356101065
2018,North Carolina,Other,189617,4741564,0.039990391356101065
2019,North Carolina,Other,189617,4741564,0.039990391356101065
2020,North Carolina,Other,189617,4741564,0.039990391356101065
2017,North Carolina,Republican,2362631,4741564,0.49828094696180414
2018,North Carolina,Republican,2362631,4741564,0.49828094696180414
2019,North Carolina,Republican,2362631,4741564,0.49828094696180414
2020,North Carolina,Republican,2362631,4741564,0.49828094696180414
2017,North Dakota,Democrat,93758,344360,0.27226739458706006
2018,North Dakota,Democrat,93758,344360,0.27226739458706006
2019,North Dakota,Democrat,93758,344360,0.27226739458706006
2020,North Dakota,Democrat,93758,344360,0.27226739458706006
2017,North Dakota,Other,33808,344360,0.09817632709954699
2018,North Dakota,Other,33808,344360,0.09817632709954699
2019,North Dakota,Other,33808,344360,0.09817632709954699
2020,North Dakota,Other,33808,344360,0.09817632709954699
2017,North Dakota,Republican,216794,344360,0.629556278313393
2018,North Dakota,Republican,216794,344360,0.629556278313393
2019,North Dakota,Republican,216794,344360,0.629556278313393
2020,North Dakota,Republican,216794,344360,0.629556278313393
2017,Ohio,Democrat,2394164,5496487,0.4355807627672002
2018,Ohio,Democrat,2394164,5496487,0.4355807627672002
2019,Ohio,Democrat,2394164,5496487,0.4355807627672002
2020,Ohio,Democrat,2394164,5496487,0.4355807627672002
2017,Ohio,Other,261318,5496487,0.0475427304749379
2018,Ohio,Other,261318,5496487,0.0475427304749379
2019,Ohio,Other,261318,5496487,0.0475427304749379
2020,Ohio,Other,261318,5496487,0.0475427304749379
2017,Ohio,Republican,2841005,5496487,0.5168765067578619
2018,Ohio,Republican,2841005,5496487,0.5168765067578619
2019,Ohio,Republican,2841005,5496487,0.5168765067578619
2020,Ohio,Republican,2841005,5496487,0.5168765067578619
2017,Oklahoma,Democrat,420375,1452992,0.2893168028454389
2018,Oklahoma,Democrat,420375,1452992,0.2893168028454389
2019,Oklahoma,Democrat,420375,1452992,0.2893168028454389
2020,Oklahoma,Democrat,420375,1452992,0.2893168028454389
2017,Oklahoma,Other,83481,1452992,0.05745454895828745
2018,Oklahoma,Other,83481,1452992,0.05745454895828745
2019,Oklahoma,Other,83481,1452992,0.05745454895828745
2020,Oklahoma,Other,83481,1452992,0.05745454895828745
2017,Oklahoma,Republican,949136,1452992,0.6532286481962736
2018,Oklahoma,Republican,949136,1452992,0.6532286481962736
2019,Oklahoma,Republican,949136,1452992,0.6532286481962736
2020,Oklahoma,Republican,949136,1452992,0.6532286481962736
2017,Oregon,Democrat,1002106,2001336,0.5007185200286208
2018,Oregon,Democrat,1002106,2001336,0.5007185200286208
2019,Oregon,Democrat,1002106,2001336,0.5007185200286208
2020,Oregon,Democrat,1002106,2001336,0.5007185200286208
2017,Oregon,Other,216827,2001336,0.10834112812641156
2018,Oregon,Other,216827,2001336,0.10834112812641156
2019,Oregon,Other,216827,2001336,0.10834112812641156
2020,Oregon,Other,216827,2001336,0.10834112812641156
2017,Oregon,Republican,782403,2001336,0.39094035184496756
2018,Oregon,Republican,782403,2001336,0.39094035184496756
2019,Oregon,Republican,782403,2001336,0.39094035184496756
2020,Oregon,Republican,782403,2001336,0.39094035184496756
2017,Pennsylvania,Democrat,2926441,6115402,0.4785361616456285
2018,Pennsylvania,Democrat,2926441,6115402,0.4785361616456285
2019,Pennsylvania,Democrat,2926441,6115402,0.4785361616456285
2020,Pennsylvania,Democrat,2926441,6115402,0.4785361616456285
2017,Pennsylvania,Other,218228,6115402,0.0356849803169113
2018,Pennsylvania,Other,218228,6115402,0.0356849803169113
2019,Pennsylvania,Other,218228,6115402,0.0356849803169113
2020,Pennsylvania,Other,218228,6115402,0.0356849803169113
2017,Pennsylvania,Republican,2970733,6115402,0.4857788580374602
2018,Pennsylvania,Republican,2970733,6115402,0.4857788580374602
2019,Pennsylvania,Republican,2970733,6115402,0.4857788580374602
2020,Pennsylvania,Republican,2970733,6115402,0.4857788580374602
2017,Rhode Island,Democrat,252525,464144,0.5440660657037472
2018,Rhode Island,Democrat,252525,464144,0.5440660657037472
2019,Rhode Island,Democrat,252525,464144,0.5440660657037472
2020,Rhode Island,Democrat,252525,464144,0.5440660657037472
2017,Rhode Island,Other,31076,464144,0.06695335930228549
2018,Rhode Island,Other,31076,464144,0.06695335930228549
2019,Rhode Island,Other,31076,464144,0.06695335930228549
2020,Rhode Island,Other,31076,464144,0.06695335930228549
2017,Rhode Island,Republican,180543,464144,0.3889805749939674
2018,Rhode Island,Republican,180543,464144,0.3889805749939674
2019,Rhode Island,Republican,180543,464144,0.3889805749939674
2020,Rhode Island,Republican,180543,464144,0.3889805749939674
2017,South Carolina,Democrat,855373,2103027,0.4067341978966509
2018,South Carolina,Democrat,855373,2103027,0.4067341978966509
2019,South Carolina,Democrat,855373,2103027,0.4067341978966509
2020,South Carolina,Democrat,855373,2103027,0.4067341978966509
2017,South Carolina,Other,92265,2103027,0.043872475246394836
2018,South Carolina,Other,92265,2103027,0.043872475246394836
2019,South Carolina,Other,92265,2103027,0.043872475246394836
2020,South Carolina,Other,92265,2103027,0.043872475246394836
2017,South Carolina,Republican,1155389,2103027,0.5493933268569543
2018,South Carolina,Republican,1155389,2103027,0.5493933268569543
2019,South Carolina,Republican,1155389,2103027,0.5493933268569543
2020,South Carolina,Republican,1155389,2103027,0.5493933268569543
2017,South Dakota,Democrat,117458,370093,0.3173742815994899
2018,South Dakota,Democrat,117458,370093,0.3173742815994899
2019,South Dakota,Democrat,117458,370093,0.3173742815994899
2020,South Dakota,Democrat,117458,370093,0.3173742815994899
2017,South Dakota,Other,24914,370093,0.06731821461092212
2018,South Dakota,Other,24914,370093,0.06731821461092212
2019,South Dakota,Other,24914,370093,0.06731821461092212
2020,South Dakota,Other,24914,370093,0.06731821461092212
2017,South Dakota,Republican,227721,370093,0.615307503789588
2018,South Dakota,Republican,227721,370093,0.615307503789588
2019,South Dakota,Republican,227721,370093,0.615307503789588
2020,South Dakota,Republican,227721,370093,0.615307503789588
2017,Tennessee,Democrat,870695,2508027,0.34716332798650096
2018,Tennessee,Democrat,870695,2508027,0.34716332798650096
2019,Tennessee,Democrat,870695,2508027,0.34716332798650096
2020,Tennessee,Democrat,870695,2508027,0.34716332798650096
2017,Tennessee,Other,114407,2508027,0.0456163350713529
2018,Tennessee,Other,114407,2508027,0.0456163350713529
2019,Tennessee,Other,114407,2508027,0.0456163350713529
2020,Tennessee,Other,114407,2508027,0.0456163350713529
2017,Tennessee,Republican,1522925,2508027,0.6072203369421462
2018,Tennessee,Republican,1522925,2508027,0.6072203369421462
2019,Tennessee,Republican,1522925,2508027,0.6072203369421462
2020,Tennessee,Republican,1522925,2508027,0.6072203369421462
2017,Texas,Democrat,3877868,8969226,0.4323525798101196
2018,Texas,Democrat,3877868,8969226,0.4323525798101196
2019,Texas,Democrat,3877868,8969226,0.4323525798101196
2020,Texas,Democrat,3877868,8969226,0.4323525798101196
2017,Texas,Other,406311,8969226,0.04530056439652652
2018,Texas,Other,406311,8969226,0.04530056439652652
2019,Texas,Other,406311,8969226,0.04530056439652652
2020,Texas,Other,406311,8969226,0.04530056439652652
2017,Texas,Republican,4685047,8969226,0.5223468557933538
2018,Texas,Republican,4685047,8969226,0.5223468557933538
2019,Texas,Republican,4685047,8969226,0.5223468557933538
